09-20 03:36:46.930 32040 32040 F libc    : Fatal signal 11 (SIGSEGV), code 2 (SEGV_ACCERR), fault addr 0x7818798f9be0 in tid 32040 (Shutdown thread), pid 32040 (Shutdown thread)
09-20 03:36:55.048 32063 32063 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x70e88ba5bbe0 in tid 32063 (Shutdown thread), pid 32063 (Shutdown thread)
09-20 03:39:16.529 32115 32115 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7339140d7be0 in tid 32115 (Shutdown thread), pid 32115 (Shutdown thread)
09-20 03:39:45.318 32159 32159 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x75408b901be0 in tid 32159 (Shutdown thread), pid 32159 (Shutdown thread)
09-20 03:39:49.077 32181 32181 F libc    : Fatal signal 7 (SIGBUS), code 2 (BUS_ADRERR), fault addr 0x783e87061be0 in tid 32181 (Shutdown thread), pid 32181 (Shutdown thread)
09-20 03:41:05.481 32233 32233 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x78d43a8f0be0 in tid 32233 (Shutdown thread), pid 32233 (Shutdown thread)
09-20 03:41:56.912 32278 32278 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x76ccae4abbe0 in tid 32278 (Shutdown thread), pid 32278 (Shutdown thread)
09-20 03:42:51.662 32363 32363 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7ce3f82febe0 in tid 32363 (Shutdown thread), pid 32363 (Shutdown thread)
09-20 03:43:06.885 32406 32406 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x70e5bca81be0 in tid 32406 (Shutdown thread), pid 32406 (Shutdown thread)
09-20 03:44:00.012 32451 32451 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7ae6258fdbe0 in tid 32451 (Shutdown thread), pid 32451 (Shutdown thread)
09-20 03:44:22.395 32489 32489 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x72e4fae59be0 in tid 32489 (Shutdown thread), pid 32489 (Shutdown thread)
09-20 03:45:09.314 32533 32533 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7ecfb8e92be0 in tid 32533 (Shutdown thread), pid 32533 (Shutdown thread)
