burst start 04:57:26.183
1 1790197046208 1790197046377
2 1790197046702 1790197046873
TAP_OK 04:57:27.952 (a4 切换->女生文学#书源.com)
3 1790197047197 1790197050005
4 1790197050332 1790197052369
5 1790197052694 1790197052866
6 1790197053191 1790197053368
7 1790197053693 1790197055725
8 1790197056050 1790197056220
9 1790197056541 1790197056705
10 1790197057030 1790197059509
11 1790197059833 1790197061872
12 1790197062197 1790197062392
13 1790197062717 1790197062890
14 1790197063213 1790197065241
15 1790197065564 1790197065737
16 1790197066061 1790197068092
17 1790197068415 1790197068610
18 1790197068933 1790197069109
19 1790197069435 1790197071471
20 1790197071795 1790197071987
21 1790197072313 1790197074371
22 1790197074698 1790197074892
23 1790197075216 1790197075393
24 1790197075716 1790197077759
25 1790197078081 1790197078255
burst end 04:57:58.581
