
=== watch session start 04:57:01.228 ===
1 1790197023327 in=0 ok=0 fail=0 crash=0
INPROG_GONE first observed at poll 1 (可能 10min 自动过期, 继续等结果)
2 1790197026440 in=0 ok=0 fail=0 crash=0
3 1790197029547 in=0 ok=0 fail=0 crash=0
4 1790197032642 in=0 ok=0 fail=0 crash=0
5 1790197035739 in=0 ok=0 fail=0 crash=0
6 1790197038851 in=0 ok=0 fail=0 crash=0
7 1790197041983 in=0 ok=0 fail=0 crash=0
8 1790197045068 in=0 ok=0 fail=0 crash=0
9 1790197048183 in=0 ok=0 fail=0 crash=0
10 1790197051270 in=0 ok=0 fail=0 crash=0
11 1790197054374 in=0 ok=0 fail=0 crash=0
12 1790197057748 in=0 ok=0 fail=0 crash=0
13 1790197060847 in=1 ok=0 fail=0 crash=0
14 1790197063969 in=1 ok=0 fail=0 crash=0
15 1790197067067 in=1 ok=0 fail=0 crash=0
16 1790197070158 in=1 ok=0 fail=0 crash=0
17 1790197073256 in=1 ok=0 fail=0 crash=0
18 1790197076351 in=1 ok=0 fail=0 crash=0
19 1790197079499 in=1 ok=0 fail=0 crash=0
20 1790197082634 in=1 ok=0 fail=0 crash=0
21 1790197085711 in=1 ok=0 fail=0 crash=0
22 1790197088778 in=1 ok=0 fail=0 crash=0
23 1790197091881 in=1 ok=0 fail=0 crash=0
24 1790197095016 in=1 ok=0 fail=0 crash=0
25 1790197098102 in=1 ok=0 fail=0 crash=0
26 1790197101184 in=1 ok=0 fail=0 crash=0
27 1790197104283 in=1 ok=0 fail=0 crash=0
28 1790197107376 in=1 ok=0 fail=0 crash=0
29 1790197110448 in=1 ok=0 fail=0 crash=0
30 1790197113529 in=1 ok=0 fail=0 crash=0
31 1790197116638 in=1 ok=0 fail=0 crash=0
32 1790197119732 in=1 ok=0 fail=0 crash=0
33 1790197122813 in=1 ok=0 fail=0 crash=0
34 1790197125894 in=1 ok=0 fail=0 crash=0
35 1790197128995 in=1 ok=0 fail=0 crash=0
36 1790197132090 in=1 ok=0 fail=0 crash=0
37 1790197135166 in=1 ok=0 fail=0 crash=0
38 1790197138250 in=1 ok=0 fail=0 crash=0
39 1790197141343 in=1 ok=0 fail=0 crash=0
40 1790197144470 in=1 ok=0 fail=0 crash=0
41 1790197147552 in=1 ok=0 fail=0 crash=0
42 1790197150634 in=1 ok=0 fail=0 crash=0
43 1790197153711 in=1 ok=0 fail=0 crash=0
44 1790197156793 in=1 ok=0 fail=0 crash=0
45 1790197159880 in=1 ok=0 fail=0 crash=0
46 1790197162963 in=1 ok=0 fail=0 crash=0
47 1790197166052 in=1 ok=0 fail=0 crash=0
48 1790197169147 in=1 ok=0 fail=0 crash=0
49 1790197172245 in=1 ok=0 fail=0 crash=0
50 1790197175345 in=1 ok=0 fail=0 crash=0
51 1790197178442 in=1 ok=0 fail=0 crash=0
52 1790197181539 in=1 ok=0 fail=0 crash=0
53 1790197184625 in=1 ok=0 fail=0 crash=0
54 1790197187716 in=1 ok=0 fail=0 crash=0
55 1790197190795 in=1 ok=0 fail=0 crash=0
56 1790197193881 in=1 ok=0 fail=0 crash=0
57 1790197196976 in=1 ok=0 fail=0 crash=0
58 1790197200068 in=1 ok=0 fail=0 crash=0
59 1790197203149 in=1 ok=0 fail=0 crash=0
60 1790197206247 in=1 ok=0 fail=0 crash=0
61 1790197209350 in=1 ok=0 fail=0 crash=0
62 1790197212449 in=1 ok=0 fail=0 crash=0
63 1790197215575 in=1 ok=0 fail=0 crash=0
64 1790197218649 in=1 ok=0 fail=0 crash=0
65 1790197221725 in=1 ok=0 fail=0 crash=0
66 1790197224816 in=1 ok=0 fail=0 crash=0
67 1790197227896 in=1 ok=0 fail=0 crash=0
68 1790197230966 in=1 ok=0 fail=0 crash=0
69 1790197234049 in=1 ok=0 fail=0 crash=0
70 1790197237139 in=1 ok=0 fail=0 crash=0
71 1790197240215 in=1 ok=0 fail=0 crash=0
72 1790197243299 in=1 ok=0 fail=0 crash=0
73 1790197246384 in=1 ok=0 fail=0 crash=0
74 1790197249501 in=1 ok=0 fail=0 crash=0
75 1790197252584 in=1 ok=0 fail=0 crash=0
76 1790197255678 in=1 ok=0 fail=0 crash=0
77 1790197258764 in=1 ok=0 fail=0 crash=0
78 1790197261862 in=1 ok=0 fail=0 crash=0
79 1790197264958 in=1 ok=0 fail=0 crash=0
80 1790197268032 in=1 ok=0 fail=0 crash=0
81 1790197271112 in=1 ok=0 fail=0 crash=0
82 1790197274198 in=1 ok=0 fail=0 crash=0
83 1790197277289 in=1 ok=0 fail=0 crash=0
84 1790197280366 in=1 ok=0 fail=0 crash=0
85 1790197283447 in=1 ok=0 fail=0 crash=0
86 1790197286534 in=1 ok=0 fail=0 crash=0
87 1790197289628 in=1 ok=0 fail=0 crash=0
88 1790197292717 in=1 ok=0 fail=0 crash=0
89 1790197295799 in=1 ok=0 fail=0 crash=0
90 1790197298883 in=1 ok=0 fail=0 crash=0
91 1790197301977 in=1 ok=0 fail=0 crash=0
92 1790197305053 in=1 ok=0 fail=0 crash=0
93 1790197308125 in=1 ok=0 fail=0 crash=0
94 1790197311196 in=1 ok=0 fail=0 crash=0
95 1790197314280 in=1 ok=0 fail=0 crash=0
96 1790197317376 in=1 ok=0 fail=0 crash=0
97 1790197320445 in=1 ok=0 fail=0 crash=0
98 1790197323533 in=1 ok=0 fail=0 crash=0
99 1790197326610 in=1 ok=0 fail=0 crash=0
100 1790197329712 in=1 ok=0 fail=0 crash=0
101 1790197332778 in=1 ok=0 fail=0 crash=0
102 1790197335861 in=1 ok=0 fail=0 crash=0
103 1790197338946 in=1 ok=0 fail=0 crash=0
104 1790197342033 in=1 ok=0 fail=0 crash=0
105 1790197345115 in=1 ok=0 fail=0 crash=0
106 1790197348201 in=1 ok=0 fail=0 crash=0
107 1790197351260 in=1 ok=0 fail=0 crash=0
108 1790197354352 in=1 ok=0 fail=0 crash=0
109 1790197357438 in=1 ok=0 fail=0 crash=0
110 1790197360512 in=1 ok=0 fail=0 crash=0
111 1790197363599 in=1 ok=0 fail=0 crash=0
112 1790197366715 in=1 ok=0 fail=0 crash=0
113 1790197369801 in=1 ok=0 fail=0 crash=0
114 1790197372883 in=1 ok=0 fail=0 crash=0
115 1790197375964 in=1 ok=0 fail=0 crash=0
116 1790197379051 in=1 ok=0 fail=0 crash=0
117 1790197382139 in=1 ok=0 fail=0 crash=0
118 1790197385209 in=1 ok=0 fail=0 crash=0
119 1790197388297 in=1 ok=0 fail=0 crash=0
120 1790197391383 in=1 ok=0 fail=0 crash=0
121 1790197394476 in=1 ok=0 fail=0 crash=0
122 1790197397545 in=1 ok=0 fail=0 crash=0
123 1790197400633 in=1 ok=0 fail=0 crash=0
124 1790197403714 in=1 ok=0 fail=0 crash=0
125 1790197406792 in=1 ok=0 fail=0 crash=0
