09-25 05:03:55.978 29731 29731 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7fc6856c1be0 in tid 29731 (Shutdown thread), pid 29731 (Shutdown thread)
09-25 05:04:49.928 29783 29783 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7b445012bbe0 in tid 29783 (Shutdown thread), pid 29783 (Shutdown thread)
09-25 05:05:13.159 29857 29857 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x756631eebbe0 in tid 29857 (Shutdown thread), pid 29857 (Shutdown thread)
09-25 05:06:39.811 29907 29907 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7d2dae67ebe0 in tid 29907 (Shutdown thread), pid 29907 (Shutdown thread)
09-25 05:06:46.229 29936 29936 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x753e6d10abe0 in tid 29936 (Shutdown thread), pid 29936 (Shutdown thread)
09-25 05:06:53.361 29982 29982 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x719e9a70bbe0 in tid 29982 (Shutdown thread), pid 29982 (Shutdown thread)
09-25 05:07:24.132 30059 30059 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7665846aebe0 in tid 30059 (Shutdown thread), pid 30059 (Shutdown thread)
09-25 05:07:29.212 30082 30082 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7bbdc227ebe0 in tid 30082 (Shutdown thread), pid 30082 (Shutdown thread)
09-25 05:07:34.244 30105 30105 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x75b72eac8be0 in tid 30105 (Shutdown thread), pid 30105 (Shutdown thread)
09-25 05:07:46.540 30139 30139 F libc    : Fatal signal 11 (SIGSEGV), code 2 (SEGV_ACCERR), fault addr 0x720d49b1cbe0 in tid 30139 (Shutdown thread), pid 30139 (Shutdown thread)
09-25 05:09:12.979 30205 30205 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x781dbeee9be0 in tid 30205 (Shutdown thread), pid 30205 (Shutdown thread)
